review,votes_helpful,votes_unhelpful,date_day_of_week,date_month,date_year,recommend
the string work well but did not give the mellow sound on my guitar that I was looking for. The shipping was quick and the strings were recieved in good order.,0,0,Sunday,December,2013,0
"I love these strings.  I bought a set awhile back for my Ovation, but never used them.  Then I came into possession of an old Yamaha acoustic guitar which was pretty beat up and needed new strings.  I put these suckers on there and wow was I impressed.  Even that old beater guitar sounded great and played easily with these strings.  So... I bought another set for the Ovation this time!",0,0,Thursday,March,2014,1
I bought this pick holder because I hate putting a pick between my strings to hold it and because you can't play with a pick in your strings. I originally thought this thing would be kind of large and go all the way across the headstock. Boy was I wrong. The picture is misleading.  This thing is tiny and barely goes across three string. It wedges under neath two strings and you can put two picks (maybe more if they are thin) into the wedges on top. Stays in place well and is very convenient.Only negative is I don't know how long it will hold up. I think maybe a thicker rubber rather than this foam rubber would have held up better. I can see this thing eventually losing tension in the pick holder wedges and dropping picks.,9,10,Thursday,November,2010,1
I really like these things.  I don't stick tape and stuff to guitar body which if they do make a double sided tape similar to post it notes might be a good idea.  Bought a few while back and just bought a few more.  If you drop a pick there is another right there.  Have fun.,0,0,Monday,August,2013,1
I love the idea that you don't need a pocket in your strap or elsewhere to store your pick. Further it will not add something else to find/loose in my pants pocket.,0,0,Monday,August,2013,1
it's good but think its a bit expensive for just one they should give you two for that price or lower the price,1,1,Saturday,January,2014,0
"Doe's not stay on to well, moves to much even if you go for the pick lightly could be redeisigned.",0,0,Wednesday,April,2013,0
"After buying this product, I have concluded that $8.00 is a lot of money for foam! Does the job, but I think the velcro job would be preferable to this one.",0,0,Wednesday,October,2013,0
Excellent simple product. Fits all of my guitars and stays out the way while playing. Easily holds 2 picks at at time on each end. Has grooves on ends and one can slide it down so that at least 2 strings fit into the grooves.,0,0,Wednesday,March,2013,1
Since I bought these little gadgets everybody playing guitar around want them.I use to misplace my picks all the time when playing and now I do not have to look around for them any longer as I know where to find them.  I like to use different gage picks therefore.  I have ordered more for Christmas stocking stuffers whicdh will be enjoyed by my friends.,0,0,Monday,December,2012,1
"It's a lot smaller than the picture makes it look, but that's a good thing. It serves it purpose and fits snugly between the strings on the headstock.",0,0,Friday,December,2012,1
"I'm using this right now on my acoustic and it does its job in respect to holding your picks. It was smaller then I would have pictured, but it still is a good product. It can hold light to heavy picks and its super easy to put it and take it off. Only problem I had was that it moves a lot when putting my pick back in. Besides that, its highly recommendable to anyone. I will definitely pick up more for my other axes.",0,0,Sunday,March,2013,1
"Not too much to say, it's made out of foam, made to slip between the strings, made to hold two picks.  I have several of these, for acoustics and for electrics.  My son lost one before during a performance on stage so it is not that secure that it won't be dislodged, still, it does stay on majority of the time.  I do recommend this.  My son's guitar teacher calls this a ""fancy little pick holder"" and I've had people ask where to buy one when they see it for the first time.  One must also be careful, my son lost one of these so I know it is a possibility of it falling off.  He lost it after performing in a play on stage.Please click YES if my review have been helpful to you, it will encourage me to continue writing and updating my reviews, and leave a comment if you have any questions, I will be more than happy to answer if I can be of help.",0,0,Wednesday,August,2012,1
"I use this to hold my picks on my acoustic guitar. Got tired of losing picks in mid jam, digging through pockets, scavenging for another pick. Now it's right there.",0,0,Wednesday,February,2012,1
"I have been using these for months now with 5-string bass. I think these are even more useful for bassists than guitar, as I often find myself playing with fingers, then suddenly a ""pick song"" starts and... where's a pick? I usually have to offset it, and with the tuner placement I can only fit one pick, but I still find them indispensable. And no tape or other sticky stuff!There is also a model made specially for bass. [Updated] I now have the bass model on all of my basses. It is definitely better for thicker strings.The guitar model is now on my Gibson Explorer. I do love it, but the ""spreading strings"" on the headstock makes it less secure than is perfect. So, still highly recommended if your headstock has a ""straight through"" design, not so much if you have a jackson or other radically angled headstock. (They should make a Metal Edition for that. :) )",0,0,Saturday,June,2011,1
"This thing does just what it was supposed to, i use it on my practice bass since i use any type of picks on that, and it does just what it is supposed to",0,0,Friday,May,2013,1
"I was thinking it may affect the ability to tune properly, but it seems to have no affect at all. Super audiophile tone hounds might say it affects the resonance and sustain, but just take it off when recording. Very handy to have two picks with you at all times. It's great not to have to make a trip back to the mike stand to get a pick or having to attach something with sticky tape to the guitar's finish. Me likey!! Price can't be beat either!",0,0,Tuesday,June,2013,1
"I bought one of these to try on my Asher Junior lap steel guitar to hold two finger picks and a thumb pick. Worked, but it was difficult getting all three picks in one Wedgie so I ordered a second one. Between the two of them, between the 2nd/3rd and 4th/5th strings up next to the nut, works pretty good holding these types of picks (which admittedly, the Wedgie was not actually designed for). Liked it so much I ordered two more for my acoustic and electric guitar and one for my bass (the bass version). Only down side I see is -- they DO seem loose like they could fall out AND I doubt the picks will stay in place when I case my guitar (haven't tried it yet). But otherwise, worth the price and a good doo-dad to have around. Especially if you have a lap steel and need a place to stick your finger picks on the guitar itself (real help to me staying organized!).",0,0,Friday,June,2012,1
"exactly the same as describe here, love the sound and easy to play. great price for excellent sound, highly recommend to everyone.",0,0,Tuesday,June,2014,1
I bought this as a present for my daughter to learn guitar on. She absolutely loves it. Everyone that has played on it over the past few weeks loves it. You can't beat this for the price!!!,0,0,Wednesday,March,2014,1
"I have been playing guitar for over 30 years. I've owned and played a variety of guitars in my lifetime. My wife bought this guitar for me as a gift. I cannot begin to tell you how much I love this guitar. It is a solid, well built guitar. The finish is beautiful. The pictures do it no justice. It sounds incredible. It has great tone and sustain, wonderful harmonics. The clean tones are nice and warm. The neck is fast. No fret noise or hums. The pickups are really nice. Its very versatile and you can play just about anything with it. From blues to hard rock & metal. I would perform live with this guitar in a heartbeat. You cannot find a better guitar for this price. I would have expected it to cost much more. I am extremely impressed with this great guitar. You can bet, when I add the next guitar to my collection, it will be another epiphone. Well done Epiphone!!",0,0,Saturday,January,2014,1
"I had been learning on a Squier for about six months and really wanted a better guitar. After doing research, reading reviews, and checking it out in a guitar store, I chose this one.It's much easier to play than the Squier, and it has a better sound. Like the Squier (but not as bad), it gets a little buzzy on the top strings. I suspect it might need to be adjusted, but I don't have a clue as to how to go about it.It's also a good choice for women. I'm a small woman, and I really like that the neck is smaller. It's also fairly lightweight.Overall, I'm happy with my choice. A guitar tech told me it's the best guitar out there under $500. Maybe. I expect to be happy with it for a few years before I upgrade again.",3,4,Wednesday,January,2013,1
"This is one awesome guitar!  I also purchased the Fender Mustang I Amp, Epiphone custom case (fits like a glove) and Planet Waves Planet Lock Leather Guitar Strap (comfortable and very secure) which made for an UNBELIEVEABLE combination along with Rocksmith 2014.  I cannot imagine anyone being disappointed with this combination.  The only problem in my household is....who gets to play next.",0,0,Wednesday,January,2014,1
"First off, the shipping was fantastic. It shipped the very next day and came VERY well protected in perfect condition. It is an extremely well made and solid product. I think a few people have given this Les Paul a rep of just being a ""Starter Guitar"". Trust me when I say, I have no problem leaving my Les Paul Standard at home and taking this one to a gig. It plays well and the sound?? INCREDIBLE. It even has a great acoustic sound to it when not plugged into an amp. I can't say enough good things about this guitar it's that good. If you're thinking aout buying this guitar, don't. Just buy it!! BUY IT!!",0,0,Friday,June,2012,1
"It'd been about 6 years since I've had an electric guitar. I traded my old one off to pay a debt and just never returned. I decided recently after moving back to my home town that I was going to get back into playing electric guitar, only this time I wanted it to be more than a &#34;hobby&#34;. I fully intend on doing local gigs for fun and some side cash and this guitar will EASILY deliver.It came in perfect condition. The action is set perfectly and I don't have any issues with buzzing strings. It comes with clear (black) control knobs, which I'll likely replace with something a bit prettier. But overall this is a great guitar. It even sounds amazing, it really does have that ballsy sound of a LP..... because well 0_o it IS a LP. Its no Gibson, but it IS a LP!Very happy with this purchase!!!!",0,0,Thursday,April,2014,1
"Purchased primarily for Rocksmith and it works very well for that.  Still learning how to play, but like the feel of this guitar.  Looks great and plays great.  Was packaged very well.  Only needed minor setup adjustments. I would recommend getting strap locks.",0,0,Friday,March,2014,1
"this is a beautiful guitar...the finish is amazing...and the tone is very clear...if you can't afford several hundreds or thousand for a les paul...this is a fun and very good guitar for the money...has 6 strings,,,from e to e...and if you know the g chord you will have lot's of fun...the volume control goes to 11 ,if you want to kick it up a notch...(only kidding)",3,3,Saturday,October,2013,1
Good overall but pick ups are terrible - Might be better replacing the pickups but I wasn't willing to spend the extra money,1,2,Tuesday,February,2014,0
"Pretty sweet guitar for the price. Sounds like and plays like a Les Paul. I really like the vintage sunburst color (It's more orange than what the picture shows). The strings were setup on the nut close to the fret board the way I like it already when I got it. I just replaced the strings with heavier strings for personal preference. Overall, sounds and looks awesome! Would recommend it for anyone on a budget that wants the sound of a Les Paul.",0,0,Monday,March,2014,1
"This guitar is very attractive looking, and plays well right out of the box.  I am a beginner guitarist, so please take this review for what it's worth.  I am extremely pleased, and don't plan on ever upgrading.  This guitar is a darker cherry red wood color in the center than shown in the picture.  So expect it to be a different color than what you order.  See customer pics.It comes with strings installed and almost tuned.  The volume knob is well designed for smooth and convenient use.  The tremble and rhythm switch is far enough out of the way that you're not going to accidently hit it while strumming.  My only gripe is that the high E string gets caught on the top pickup when I'm playing hard, but maybe I'm just a novice.  I will say that it's very easy to play.Everything on it is very adjustable which I also like.  The only BUYER BEWARE statement I can think of is: you're going to be addicted to it!",1,1,Thursday,October,2013,1
"Listen,If you want an inexpensive guitar with great sound and easy playability, buy this one.  Period.I bought a black one to leave in the trunk while I was at work, in case the guys called for a practice session, so I wouldn't have to go all the way home to pick up my gear.I have other, way more expensive guitars, like a Gibson ES-335, Dean 12 string, and a Fender Strat, but I gotta tell you, I like this one soooo much I play it more than the others!  No kidding.And if it gets banged up, so what???  It costs a buck thirty!  Buy another.  In facte I bought 2 others with different finishes, just for a cheap change up guitar.Dig it.",29,30,Monday,February,2009,1
"I'm updating a previous negative review. I had some issues with this guitar when it arrived. I couldn't get it setup, the action was very high and I couldn't set the intonation. Notes at the 12th fret were very sharp, and I couldn't lower them with saddle adjustments. I missed one vital checkpoint, the bridge needed to be lowered. Setup is finished, and I can now agree with most reviewers. For the price, this guitar is far better than any others in the price range. I know my grandson will enjoy it, at least for awhile. If it ends up as a dust collector, I'm not out much on the purchase price. I'll add it back to my own collection, and upgrade the electronics.",2,2,Friday,May,2013,1
"The Epiphone Les Paul guitars don't particularly sound that great, but they stay in tune much better than the cheap squier strat you can get at the same or lower price. If your kid is serious about wanting to play guitar, but you're not completely sure if they will stick with it, if you can spend another $100 and get a used mexican made fender strat or tele. The reason for this is because for 1, if they decide it's not something they want to do anymore, you can resell it at the same price you bought it for (as long as it is still in decent condition) and little no money is lost. Second, if they do decide to stick with playing guitar and eventually own a &#34;better&#34; or more high end guitar, Mexican made teles or strats are great back up guitars for stage use. I have a couple different high end guitars and I will not get rid of my Mexy Strat because it sounds great still. I'll never pick up my first guitar which is essentially this.",1,2,Monday,February,2014,0
"I purchased this guitar after much thoughtful consideration of other possibilities, but the nearly universal high marks for this particular make and model finally persuaded me to go with this one, and I do not regret that decision.First of all, it is a beauty. Initially, I was a little disappointed in that very little wood grain shows through the orangish finish. (My guitar was made in China, which may account for the darker hue.) I thought I had wanted a lighter color, but the more I look at it the happier I am with what I have. Second, this instrument is no light-weight, either in heft or playability. It is solidly constructed, very well put together, and plays like a dream. (I lowered the action until I encountered some fret buzz, then backed off the adjusting screws just a bit; that's basically the only adjustment I've made, or likely will make.)It's been barely a day since the guitar arrived and, as yet, I've only played it unplugged. I can't wait to hear how it sounds amped up.",1,1,Thursday,September,2013,1
"Wow, you would have thought this was the Holy Grail when it arrived at my house.  My son practically ran to the UPS man when the truck pulled up.  He is thrilled with this guitar.  Great purchase.",1,2,Tuesday,March,2013,1
"I got this guitar at Guitar Center, i was scared to get this guitar from amazon because of a review saying it looked like a toy, so i wanted to see it in person, i saw it, i tested it out at guitar center and it was amazing, its better than my other les paul special ii, this guitar plays great, its set up very nicely, the pickups are very nice, the electronics work perfectly, i have no problems with it, but the guitar is very beautiful, i would highly recommend getting it, i just dont know if anyone elses will be the same, not all guitars are made the same right?",0,0,Friday,December,2013,1
"This is my third circuit breaker cable. I play in church and no one wants to here the ""POP"" if I have to leave the sanctuary. Why three: 10foot, 15foot, and 20foot depending on the setup for the group - I hate cable jump rope. I really like the right angle connector makes it fit no matter what guitar stand I use.",0,0,Wednesday,September,2011,1
I love this cable. It is perfect for making guitar changes without noise. The cable itself does not seem quite as good quality as my other Planet Waves cables but it is still better than most others. The switch is easy to use.,0,0,Saturday,December,2011,1
"So far I am a very satisfied customer with this cable.  For what is worth, while I have used these cables before, this is the first one I have ever owned, so I am no expert.",0,0,Tuesday,February,2014,1
"A nice concept that actually works, The cable is very nice, too with an adequate gauge. Try it out for yourself!",0,0,Saturday,January,2013,1
"Wow, these cables are made really sturdy. And the noiseless feature is priceless. Definitely a real good value for the money.",0,0,Wednesday,October,2013,1
30 feet of cable for what I paid for a 10 footer from my local guitar shop.I highly recommend!,0,0,Saturday,March,2014,1
A long time Planet Waves user I trusted that the circuit breaker cable would be up to their usual high standards... IMHO it is not.The plugs are great but do not seem to have good cable grip. I like their old cables that had a long cable protector extending from the plug allowing the cable to flow gracefully from the guitar (and into the amp at the other end). The actual cable is horrible.... it is a hard plastic outer shell and does not lie or flex well like a good cable should (e.g. like my old Planet Waves cables do). They claim that the shielding is excellent but I find it to be mediocre. Very disappointing purchase.,0,0,Wednesday,March,2008,0
I'd chose this cable cause I own an older one with the angle plug and needed another longer cable with the straight end. I like the idea that you can cut the power  and remove the cable from the instrument with having  mute the amp or mixer. I recommend this product to anyone who likes the ability to disconnect without doing anything else.,0,0,Saturday,July,2013,1
"I purchased this for my pedalboard a few years ago, and have always loved it. I only use 3-4 pedals, and this is always one of them. It sounds great, is indestructable, and takes up almost no space. The controls are great, and you can get a large variety of sounds. I have played ""boutique"" chorus pedals, and the Boss is loads better in every way. You will not regret this purchase.Pros:-easy to use-no hum-small-sonds awesome-indestructabecons:-NONEIf you want an awesome chorus that has been around forever, will last forever, and sounds incredible, get this.",6,7,Saturday,August,2011,1
"I bought this little pedal back in 1996, about a year after I got my first guitar.  I've tried other pedals, but ultimately, this one gives me the best sound.  It's very versatile and it's really easy to dial in just about any sound I want.  You might get a more dramatic effect from expensive rack units, but for cost and practicality, this pedal is your best bet!",4,5,Thursday,April,2010,1
Very very good product! I have no complains about it.  Definitely a great buy and a Must have in your pedalboard.,0,0,Wednesday,June,2013,1
"Sweet chorus, I have the CE5, the CE20, a CE3 and this one. This chorus is my favorite, it sounds just right, the analog CE3 is awesome but too weak, Boss should include a level knob instead of a stereo control, anyway this one is a keeper!",0,0,Thursday,March,2012,1
"OK... I am a pro musician & rely on gear that will stand the tests of the road. I was using an old Ibenez Chorus Pedal (one of the first to hit the market) of which I did not use much basically due to it's used for certain songs. I upgraded from using 2 separate pedal boards to a single unit & decided to buy the Boss CH-1 Super Chorus to add to the collection. After my first gig I removed the Ibenez Chorus Pedal because of the tonal superiority of the Boss unit. I am certain there are units that may boast of being better but, I have found through my 40+ years of playing that more money is not always better.Great tones! Easy operation! And it is the best bet for the money!",8,9,Monday,September,2011,1
"I like the product a lot. For me, the only problem is the time of the ""sustainer effect"".It is not so long as I thought. I though it would be like the piano's sustainer. But it's a good pedal effect. My guitar get a good sound with the ""attack effect"". Thank you.",0,0,Sunday,January,2012,1
"As several of the previous posters astutely mentioned, 'you will need a noise gate to use this pedal'. I completely agree with that. And it will sustain your notes. It will actually raise the volume to make them sustain. But you will have extraneous hiss when the guitar is not playing to cover it up. The only way to get rid of this hiss is to use a noise gate. I use the NS-2 when I use my chain of pedals. That said, this pedals has some wonderful uses. Every note will have the same volume. You can hit the chord as hard as you like or as softly and it will play at the same volume. You can set it to sustain for days. Again, you will need a noise gate. There is nothing transparent about THIS compressor as there is almost all of my other compressors, but none of them are as ""ACTIVE"" as this one. Perhaps that's the price you pay for what this pedal can do. I recommend messing with it quite a while. You can do some incredible funk, jazz, metal vibes out of it.",1,1,Saturday,May,2012,1
"Man this is perfect! Some people says that the cs3 is noisy but I thinks that depends on what type of electric conections you got at home or place you play, if you don't have a independent circuit for your pedalboard there's gonna be a lot of noise, most of all bcuz of the compression (obviously)... For me this is PERFECT, doesn't make any noise with my conections... Tottally recommend this!",0,0,Wednesday,June,2012,1
"The Boss CS3 is right for me, I have been using it with excellent results, I have many compressors, Line6, MXR, Behringer, Digitech, and although I alternate their use the Boss stands out on many rig configurations, it can feel a little bit overcompressed sometimes but in general a very good product, I highly recommended it as your main compressor, if you dont like it probably you dont know how to configure it, good luck.",1,2,Thursday,March,2012,1
"As a pro musician, I am always on a quest for better tone to expand and comply with different gig situations. I had a bad experience with a few Compression Pedals through my years only to toss them in the closet & give up on the thought.When I upgraded my pedal board, I decided to give the idea of adding a Compression unit to give my G&L; American Legacy (Stratocaster style guitar) more sustain at lower volumes. Boss is the company that dominates my effects board... I rely on their Chormatic Tuner, Digital Delay (2 of them), Line Switch & Direct Box almost every night (for gig & Practice).With a somewhat negative attitude going into this I had a great surprise to find that I really, really like this unit. It did what I wanted & then some! Great tone & sustain oozes from this little box & stays in the ""On"" position for most of the time I am playing my electric guitars, especially any Stratocaster styled guitar I own.",7,8,Monday,September,2011,1
"I have had this pedal for about 15 years, just replaced the old one a month ago. It distorts sound, not quite the way you would imagine though. This effect sounds really good through a fat cab or a larger amp that can let the cabinet give the tone a little color. I use it through a Epiphone Valve Jr and a Marshall 2x12 stack with JTM45 on top and its fine. This thing through a Champ or smaller amp will not give you the meat you are probably looking for without a EQ pedal.This does just what it says it does. One Volume knob, one tone, and one distortion knob. CRANK IT.",2,2,Saturday,August,2008,1
This pedal is a must have for any pedal board. I love the overdriven sound of this pedal in that it has a distortion element but not so distorted single notes are lost in the fray. Thirty some odd years and counting and still one of the best.,1,1,Thursday,April,2014,1
"This was the first pedal I ever bought when I started playing guitar 15 years ago.  It's still in my primary set up!  The sound it puts out is very balanced:  you can get a subtle overdrive-like sound out of it, or a high-gain hard rock/80's metal sound out of it.  For those looking for insane crunch, this isn't for you.  Anyone that wants a nice, versatile pedal, this IS the one you want!",2,3,Saturday,October,2009,1
"This is a cheap piece of junk that does what it says, it distorts, You want something to make your guitar sound like junk, this will do it. Why pedals that make your guitar sound like a piece of junk are the most popular is beyond me. This is not a boutique Distortion pedal like Hendrix would use. Boutique and distortion are an oxymoron.These things are built with heavy metal, it should last, I kinda hope it doesn't(just kidding), you want distortion, you got distortion",2,30,Friday,November,2009,0
"This is a distortion pedal. It will give your amp a boost for solos and turn a clean amp into a dirty girl. It's pretty harsh in tone - kind of a white noise distortion. The DS-1 DOES NOT warm up the tone in your amp. You can dial the tone in, but it's a pretty harsh sounding.That said - the DS-1 does exactly what I wanted it to. My amp gives me a nice warm crunch, classic rock style. The DS-1 gives me the 80's metal and punk rock sound I wanted, and it does so flawlessly.It took me about 5 minutes of tinkering to get a nice transition from my amp to a matching tone on the DS-1. It's BOSS, so it will last forever.Th only drawback is that it's an item that is currently cheaper elsewhere. Usually Amazon catches up with that sort of thing, but word to the wise, don't pay more than $40 new for this thing.",0,0,Saturday,August,2011,1
"I find that if I play this pedal along with my Boss Super Chorus pedal, my guitar with Tex-Mex pickups captures a lot Gilmour's sound tonality.",1,2,Thursday,August,2013,1
"This pedal has been on the market for a very long time and it was a smoking deal for a Boss pedal at $40. The pedal works great with almost any guitar pickup set but sings with my EMG powered Schecter and tube amp.Different distortion levels can be dialed in and to my surprise, it works good with a bass although bass players know they will lose some bottom end.The guitar universe always raves about Boss and the distortion pedals and how any guitar player should have one of the distortion pedals. Buy it and experiment with the gain and settings and find your favorite tone.I may buy another one and mod it to use with my bass.",0,0,Wednesday,March,2012,1
"Here's the deal with this pedal. It is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money. In my opinion, for spending less than $100 for a distortion pedal, whether it is your first pedal or 700th pedal, a few more bucks will get you the MXR Badass distortion which has a much crisper tone to it.",1,4,Friday,February,2014,0
"This is a little more expensive than some other brands, but i think it sounds great and it's way more durable than a plastic pedal.I'm pretty new to electric guitar so i'm not really a distortion and tone expert like some other reviewers.  To me this this sounds better and is easier to adjust than my modeling amp, so I think it's a good purchase.",0,0,Friday,August,2012,1
This is the best deal ever my first pedal was a zoom 505 gfx and it was really electronic and synthesized sounding alot of echos and stuff. Honestly the best effect it held was the phaser/jet pipe effect. I got this today and man it sounds so crisp clean and evenly distorted. It does the job distortion and sustain best buy for a best price!! bodow!!! from Trinidad!!,0,0,Monday,March,2012,1
I love these pedals. Inexpensive to purchase - easy to mod to your liking.This pedal received the gain and JCM mod.I will purchase more of these and will mod each and every one of them.This pedal is also good stock for a lead boost. Love this pedal.,0,0,Monday,January,2012,1
"I know, I know, many people hate on this pedal, calling it &#34;stale&#34;, and &#34;generic&#34;. The problem that they have is that they simply haven't found the right settings on the pedal and the amp, because, after all, the settings on both the amp, and the pedal do make a difference. One thing to note is that it is a bit on the quiet side in my opinion. I have a Digitech Bad Monkey, and I set the level on that to 2 so it matches up with the amp. With this pedal, I have to crank the level to make the clean tone the same level as the distorted tone.",1,2,Friday,March,2014,1
"This is an excellent distortion pedal for people who want a traditional rock sound. I use it with a Fender Mustang amp and an Ibanez guitar with good humbucking pickups. It's very easy to use and rugged. If you play metal, you might want to get the HardWire TL-2 instead; that pedal delivers more distortion (an insane amount, if necessary) and more tone control, but it's also more expensive. But you can easily boost the distortion achieved by the DS-1 by using it with your amp on an overdriven setting. The DS-1 is an excellent general purpose distortion pedal. I don't know of any other that achieves this level of quality in the same price-range.",0,0,Sunday,December,2010,1
Good metal distortion tone with bags of sustain but sucks a lot of tone (most metal pedals do) and is moderately noisy. If you are looking for classic rock sounds you won't find them here. Can get muddy at times but there are plenty of settings to tweak to get the sound you are looking for. I find it useful for high gain leads and palm mute rhythms but note definition is not so good with chords. For the price this pedal is a good deal though!,1,2,Wednesday,May,2011,1
"I've had this for about 11 years now. Even with some of the newer metal pedals on the market, this pedal still sells well. Not to mention, it's probably also one of the most modded pieces out there. Any number of mods can be found online to change the sound. They're usually on the side of improving the stock tone, which I'm happy with.I've always liked the parametric EQ on this pedal. The variable midrange allows me to get Marshall or Mesa flavors. For most metal/hard rock music, the gain range is enough for me. If I need yet more gain, I punch it up with an overdrive, or a compressor pedal for a cleaner boost. Even without a boost, I can use it for death metal. I think if you play the tighter, more technical styles, it's better not to have too much gain anyhow.",0,0,Thursday,February,2010,1
"To be honest, I was looking for a pedal that would give me distortion similar to Megadeth's first album KIMB. So far I havnt got a perfect setup on it yet, but ive got close enough to it. This pedal is great, only a couple notes I should make about it. Do NOT buy this pedal if your expecting to play classic rock, or just rock in general. This pedal is for metal. The battery drains like a MF. I dont understand why. The only possible explanation I can think is that I leave it plugged into guitar and amp, but ive had other pedals that wouldnt drain the battery unless its TURNED ON. I prefer just to get an AC adapter and not use batteries. Other than those few things iv had no problems with this great pedal.",4,6,Friday,August,2011,1
"I have a lot of pedals...  In fact, I have 2 distortion and 2 overdrive pedals (though only the MT2 and the OD3 are regularly in my rig.)  This pedal won't give you a ""cranked up tube stack"" sound.  No...  Instead, it's very edgy and smooth as can be.  It has a mid-sweep knob on it to help sculpt your tone.  I usually use it as a mid-boost for solos.  You'll find that you get amazing sustain and a huge sound that you won't be able to replicate (easily... I'm sure the huge Boss distortion box comes close, but for the price...) with any other pedal.",5,5,Saturday,April,2010,1
"I bought mine used three years ago and it works great. It works for a Metallica, Pantera type sound. You can also get good rock sounds with the gain turned down and eq. adjusted.",3,4,Wednesday,October,2007,1
"Its a great pedal, sound really crunchy, I got a peavy vyper sometime I use this If I want a crunchy style, but the amp I got is really good and has its own distortion styles, I use the heavy metal config on this pedal, I recomend it to anyone... does not introduce noise, I run it on the stock battery, it still works, you can make your guitar sound like Metallica or Megadeth, of course it also depends on a lot of things, like pickups, amp, etc..., I also have a very old little peavey practice amp, this blows away the distortion that it has with less noise and gives it a new life.Listen to it on the Boss website, I heard to it and then I thought the sound was not going to be similar because of the equipment used by them, but it does sound really really close. regards. forgive my english... not from the U.S",0,0,Wednesday,March,2011,1
"BY FAR the best distortion pedal out there. No doubt about that. Several of my friends use this pedal, and they all love it. I also see many popular bands using this distortion pedal. It's great for medal. It have a nice punch to it along with a great &#34;cut&#34; so you're palm mutes don't blend into each other like other pedals. There are several knobs offering seemingly unlimited combinations. AMAZING",0,0,Thursday,March,2014,1
Bought it as a gift. Friend loved it very much.,0,0,Sunday,July,2014,1
"I love BOSS pedals. I owned a DS-1 (Distortion) and a MT-2 (Metal Zone) for years, and loved them both. This one, is a good ""meet in the middle"" of those two. It's great if you want some really good bluesy distortion, or you can crank the color and get some thick distortion.As always, this pedal is very well constructed and sturdy. I love it.",0,0,Sunday,January,2013,1
"This pedal was the mainstay of my effects for a few years.  It really does have a ton of range, although it only does one effect at a time, so you'd have to reach down and change the knobs mid-show in order to get the other variations.  My most commonly used setting was with the overdrive-distortion mix knob at about 2 o'clock, which produces a very professional sounding Grunge-type effect.  If you want any of those 90's sounds, excluding the heavier metal sounds, this pedal will definitely get you there.",3,3,Friday,May,2008,1
"very simple, very user-friendly,and the feature that is most important i think, versatile. the OS/DS and drive knobs allow you to chose between a very different bunch of tones. and also, for the money, a great deal. 100% recommended.",0,0,Tuesday,June,2014,1
"I first used this pedal when my green screemer died. A friend had and os-2 on hand and let me use it. I had used Boss's metal zone before and it produced too nasal of a tone for my liking. So I plug into the OS-2 and I was pleasently impressed with the range of distortion and overdrive the OS-2 pedal produced. I play through a '59 fender bassman and the mix of those tubes with this pedal produce some very sweet tones. I have also played this pedal through a solid state amp and I am still impressed. I have spent years searching for a pedal that could produce a nice tight churnch with a warm and low bottom end, my search ended with this pedal. I highly recomend this pedal to any rock, blues, metal, country, or punk guitar player.",7,7,Tuesday,March,2010,1
"It's a good OD, but I thought it would be higher output, and more articulate. Just personal preference. I mean, the Pedal is a Classic for a reason.",1,1,Thursday,November,2012,0
"This thing freaking rocks! I LOVE this pedal. I can't stop using it. Sometimes I just play long, drawn out chords so I can listen to this amazing tone [in combo with distortion on my amp - it's perfect metal!!]",0,0,Friday,June,2013,1
excellentI like I am very happyI am looking for money for the following purchase for amazonthe pedal boss arrives in the time necessary thank you,0,1,Thursday,January,2012,1
"It's yellow, its metal, its Boss.  If you want your drive sound to have definition this is the pedal to get.  The best OD I have ever owned.  Makes me want to see if my tone could cut board in half.",1,1,Thursday,March,2012,1
"I picked this up in order to boost my gain on my amp a bit.  It does a wonderful job of that (Drive set low and the level set high.  Tone set to taste.)  The additional noise it produces is relatively low, so you won't have any excessive staticy buzzing sound to deal with.  As with any other Boss pedals, it's well made and reliable.",5,5,Friday,October,2009,1
"Bought one of these 15 yrs ago used and it died a couple years back. This is one of my favorite overdrive pedals ever. Smooth tone, the right amount of gain, perfect to push a tube amp. Plus there are now dozens of (DIY or pro) mods available which add a lot more potential. Recommended.",0,0,Friday,July,2014,1
"I bought this pedal used and have used it with both a Fender tube amp and a Marshall solid state using clean channels. I can get a variety of tones from it with different guitars, and reccomend it as a first overdrive or to add to a collection.While I have several overdrive pedals, this one is good at giving some basic overdrive tones while keeping the amps low end. I can get decent tones from a Telecaster and Les Psul by keeping the level and tone knobs below 12 o'clock and adjusting the drive to taste.The OD sounds great through Fender clean tubes and I also tried it with a bass guitar. With some adjustment of the tone and drive knob, the bass has an overdriven tone with a good drive.The other reviews here prove this pedal is typical and iconic Boss in build quality. I find the Boss pedals good for their purpose and have mostly modded the ones I've owned after some time, but I may keep this one as is and use it as a boost. These pedals last forever and I only paid $20 for mine.",1,1,Monday,August,2012,1
"This is a standard on my peral board along witht he Blues Driver.  This little yellow box is the most bang for your buck you are going to find in an Over Drive pedal.  It is tough, sounds like fire, and will serve you well.  For $50 there is seriously no better deal.",0,0,Sunday,December,2013,1
I use this pedal all the time now even more than the DS-1 . Great chrunch for the buck From classic blues to rock its very eash to dial the sound you want in.,0,1,Wednesday,December,2012,1
